name,id_okpdtr,okpdtr
Специалист по работе с документами,50050,Специалист по маркетингу
Инженер календарно-сетевого планирования,,
Руководитель направления эксплуатации серверного оборудования,,
Системный (бизнес) аналитик,,
Младший веб-разработчик / Junior Frontend Developer,,
Project-manager в R&D/ Менеджер проектов (Академгородок),,
Разработчик Rust,46404,Размотчик
Дизайнер web и мобильных интерфейсов,,
Программист 1С,49855,Программист
Менеджер по продажам,49302,Менеджер по персоналу
Менеджер проектов,49295,Менеджер (в торговле)
Заместитель руководителя отдела разработки (электронных приборов),,
Инженер по организации ITSM процессов,48869,Инженер по организации перевозок
Менеджер проекта,49304,Менеджер по рекламе
"Ведущий инженер (г. Амурск, Хабаровский край)",,
Руководитель отдела эксплуатации бизнес приложений,,
Frontend developer (middle),,
"Ведущий инженер ОКС (г. Певек, Чукотский автономный округ)",48112,Ведущий инженер по эксплуатации воздушных судов
Project leader (IT),,
"Инженер по планированию (Обский СПГ,Арктик СПГ)",,
Data scientist,,
Специалист отдела внедрения и сопровождения,,
Руководитель группы эксплуатации общего ПО и баз данных,,
Специалист по транспортной логистике,50059,Специалист по эргономике
Инженер проектного отдела (шинопровод),,
HTML-верстальщик / Редактор сайта,,
"Ведущий инженер ОКС (пгт. Многовершинный, Хабаровский край)",,
Менеджер проекта,49304,Менеджер по рекламе
Старший технолог в отделе методологии и технологий,,
Водитель-грузчик с личным автомобилем (Газель),,
"Менеджер по продажам сервисных услуг (распределительные устройства, трансформаторы, релейная защита)",,
Java-раз‎работчик,46404,Размотчик
Мерчендайзер с функцией торгового представителя,,
Специалист контрактной службы,50046,Специалист гражданской обороны
Руководитель проектов,49945,Руководитель полетов
Разработчик СУБД (PostgreSQL/Oracle),,
Ведущий системный аналитик по направлению ДБО юридических лиц,,
Специалист тестирования,50028,Специалист
Системный аналитик,,
Руководитель проектов,49945,Руководитель полетов
Руководитель направления по обучению и развитию,,
Инженер-проектировщик архитектурно-строительной группы,,
Эксперт по тестированию на проникновение/Пентестер,,
Главный специалист технической поддержки,48319,Главный специалист
Проектировщик информационных систем,,
Проект-инженер АСУ ТП,,
Оператор 1С (отдел логистики),,
Аналитик CRM,,
Менеджер проектов,49295,Менеджер (в торговле)
.Net разработчик,46404,Размотчик
Инженер ПТО-сметчик (Менеджер проектов),,
Менеджер по продажам,49302,Менеджер по персоналу
Программист Java / Middle Java developer,49855,Программист
Администратор баз данных Oracle,50393,Администратор баз данных
Производитель работ,49859,Производитель гидрографических работ
Аналитик 1С на внедрение крупных проектов,,
Инженер ПТО,48799,Инженер
Системный аналитик со знанием английского языка,,
Инженер-сметчик,48820,Инженер-механик
Менеджер по технической эксплуатации,,
Рекрутер,46606,Ретушер
Начальник серийного конструкторского бюро (г. Екатеринбург),,
Python developer,,
Аналитик МСФО,,
Специалист технической поддержки,,
Руководитель проектов,49945,Руководитель полетов
Инженер-проектировщик,48935,Инженер-проектировщик
